algorithm,run,A,objective,daily_variance,annual_variance,daily_volatility,annual_volatility,daily_return,annual_return,cardinality,time_sec,feasible,share_konserwatywne,share_zrównoważone,share_agresywne,hhi,effective_assets,max_weight,top3_weight
SA,0,2,4.447720390934217e-05,4.447720390934217e-05,0.011208255385154227,0.006669123173951893,0.1058690482868068,0.0002640891887319536,0.06655047556045231,2,0.06203609996009618,True,0.9999999999999999,0.0,0.0,0.5000016118893176,1.999993552463515,0.5008977442056735,0.9999999999999999
SA,1,2,4.438609082813514e-05,4.438609082813514e-05,0.011185294888690056,0.006662288707954283,0.10576055450256516,0.0002594296393328569,0.06537626911187994,2,0.0819000001065433,True,1.0,0.0,0.0,0.5015760961267272,1.9937154256795804,0.5280721937753997,1.0
SA,2,2,4.649105116345891e-05,4.649105116345891e-05,0.011715744893191646,0.006818434656389904,0.10823929458931099,0.0003096381019995516,0.078028801703887,2,0.08514149999246001,True,1.0,0.0,0.0,0.500150307827036,1.9993989493770823,0.5086691356845998,1.0
SA,3,2,4.4381440232568045e-05,4.4381440232568045e-05,0.011184122938607148,0.0066619396749421295,0.10575501377526811,0.0002577962928896433,0.0649646658081901,2,0.0902884000679478,True,1.0,0.0,0.0,0.5028271974501296,1.9887547950291213,0.5375978553253349,1.0
SA,4,2,4.459229692243157e-05,4.459229692243157e-05,0.011237258824452756,0.006677746395486397,0.10600593768488988,0.00026699308703156596,0.06728225793195462,2,0.07764519995544106,True,1.0,0.0,0.0,0.500514419759464,1.9979444358078187,0.5160377641749706,1.0
GA,0,2,4.4715342953977074e-05,4.4715342953977074e-05,0.011268266424402222,0.006686953189157008,0.1061520910034382,0.00023436174392820413,0.05905915946990744,2,0.10274770006071776,True,0.9999999999999999,0.0,0.0,0.5000746017129489,1.9997016376648868,0.5061074427115229,0.9999999999999999
GA,1,2,4.447137280472661e-05,4.447137280472661e-05,0.011206785946791106,0.006668685987863472,0.10586210817280708,0.0002639036738279418,0.06650372580464134,2,0.07276910007931292,True,1.0,0.0,0.0,0.5000078381504512,1.99996864788968,0.5019796654327515,1.0
GA,2,2,4.4459212806781897e-05,4.4459212806781897e-05,0.011203721627309038,0.006667774201844413,0.10584763401847506,0.00026349641657414,0.06640109697668328,2,0.0652253000298515,True,1.0,0.0,0.0,0.5000379283225609,1.9998482982173447,0.5043547860200532,1.0
GA,3,2,4.4405746826614744e-05,4.4405746826614744e-05,0.011190248200306915,0.0066637637132940675,0.10578396948643455,0.00026111550066627094,0.06580110616790028,2,0.11760120000690222,True,0.9999999999999999,0.0,0.0,0.5006654145976588,1.9973418791142443,0.5182402658650972,0.9999999999999999
GA,4,2,4.438938787957384e-05,4.438938787957384e-05,0.011186125745652609,0.006662536144710499,0.10576448243929816,0.0002598295143834378,0.06547703762462632,2,0.12638499995227903,True,1.0,0.0,0.0,0.5013251081863671,1.994713577418211,0.5257401261299082,1.0
PSO,0,2,4.557333414853021e-05,4.557333414853021e-05,0.011484480205429613,0.006750802481818751,0.10716566710206032,0.0002795410996962182,0.07044435712344699,2,0.11338549992069602,True,1.0,0.0,0.0,0.5003172103777799,1.9987319629578988,0.512593855203626,1.0
PSO,1,2,4.448540799474798e-05,4.448540799474798e-05,0.01121032281467649,0.006669738225353974,0.10587881192512735,0.000231063595323911,0.05822802602162557,2,0.19745149998925626,True,1.0,0.0,0.0,0.5011308491910441,1.9954868107087416,0.523778658404587,1.0
PSO,2,2,4.4430873553974924e-05,4.4430873553974924e-05,0.01119658013560168,0.0066656487721732625,0.10581389386844094,0.00026240091057654785,0.06612502946529006,2,0.3154629999771714,True,1.0,0.0,0.0,0.5002308570586909,1.9990769979283234,0.5107437669997743,1.0
PSO,3,2,4.451786731915117e-05,4.451786731915117e-05,0.011218502564426094,0.006672171109852562,0.1059174327692382,0.00023169722438418062,0.058387700544813514,2,0.7556734000099823,True,1.0,0.0,0.0,0.5006506698112232,1.9974007033228638,0.518037042596047,1.0
PSO,4,2,4.442699579399167e-05,4.442699579399167e-05,0.0111956029400859,0.006665357889415366,0.10580927624781251,0.00026222858658120986,0.06608160381846488,2,0.21259699994698167,True,1.0,0.0,0.0,0.5002760666745695,1.9988963426677413,0.5117487589678547,1.0
