A,algorithm,mean_variance,std_variance,median_variance,best_variance,worst_variance,mean_annual_volatility,mean_annual_return,mean_time_sec,feasible_rate,mean_effective_assets,mean_hhi,mean_max_weight,mean_share_conservative,mean_share_balanced,mean_share_aggressive
2,GA,4.4488212654334834e-05,1.316051799480313e-07,4.4459212806781897e-05,4.438938787957384e-05,4.4715342953977074e-05,0.10588205702409062,0.06464842520875173,0.09694566002581269,1.0,1.9983148080608735,0.5004221781939974,0.5112844572318667,1.0,0.0,0.0
2,PSO,4.468689576207919e-05,4.970000785541066e-07,4.448540799474798e-05,4.442699579399167e-05,4.557333414853021e-05,0.10611701638253587,0.0638533433947282,0.31891407996881754,1.0,1.9979185635171137,0.5005211306226615,0.5153804164343778,1.0,0.0,0.0
2,SA,4.486561661118717e-05,9.126852284823091e-07,4.447720390934217e-05,4.4381440232568045e-05,4.649105116345891e-05,0.10632596976776817,0.06844049402327279,0.07940224001649768,1.0,1.9959614316714238,0.5010139266105348,0.5182549386331956,1.0,0.0,0.0
3,GA,3.966397165979054e-05,2.317672323378181e-06,3.911171628528962e-05,3.736792579023614e-05,4.320816936386706e-05,0.09994298660790013,0.0646873462164886,0.0718346999725327,1.0,2.805240835787651,0.3653273186168438,0.36945643550188617,0.9986054049644608,0.0,0.001394595035539316
3,PSO,3.948686589868131e-05,2.8840589083327447e-06,3.9031454024833496e-05,3.736836620741541e-05,4.439808681940663e-05,0.09970176465215355,0.06380426464231607,0.10613766002934426,1.0,2.7936518254043294,0.36747539495395404,0.38491315275915494,1.0,0.0,0.0
3,SA,4.094838665395083e-05,2.931664469197e-06,3.991555550914534e-05,3.73269395023151e-05,4.462188447460253e-05,0.101530461598299,0.06016190275838529,0.06035532001405954,1.0,2.6035763307830146,0.3987612934719783,0.41032898615568475,0.9983515168753787,0.0,0.0016484831246212778
5,GA,4.127942181272072e-05,6.78260067418129e-06,3.939472970908978e-05,3.540164745668586e-05,5.17410494226554e-05,0.10172788939161861,0.05963114425599332,0.058090600022114816,1.0,4.183855990263666,0.23962411922073393,0.25206653886432695,0.9753402017959004,0.0,0.024659798204099574
5,PSO,4.223426294904708e-05,4.588278085555509e-06,4.038247234431913e-05,3.93269260600639e-05,5.026029290946521e-05,0.10305031251037225,0.061677175792950886,0.19740667999722064,1.0,4.292205461132669,0.23420934783448716,0.2573769823039223,0.951189013758504,0.033416884173736915,0.015394102067759147
5,SA,4.891361861680372e-05,8.951574931006074e-06,4.885649001911883e-05,3.995033659839637e-05,5.874799824089362e-05,0.11064837801028689,0.06431897838104725,0.04208210003562272,1.0,4.489825719310948,0.22433287327564227,0.2526143406813812,0.8928591222243878,0.08598267613804622,0.021158201637566112
10,GA,6.870200782743658e-05,7.1069294209753916e-06,7.1576317824026e-05,5.80707486750919e-05,7.507753752730317e-05,0.13143269332901011,0.06262043532660848,0.06882255999371409,1.0,9.743113658732984,0.10269428032429721,0.11887550687463407,0.636843115058989,0.28853109164860047,0.07462579329241041
10,PSO,6.205917762065784e-05,3.2048376064511328e-06,6.247407481236155e-05,5.737982299420935e-05,6.628368965655393e-05,0.12502205855699175,0.05909538407181379,0.3668770000105724,1.0,9.547062950180182,0.10495934534498827,0.12293824823206512,0.6468934525236764,0.3268794745847624,0.02622707289156122
10,SA,5.8877550019817e-05,7.1527417438686175e-06,5.8584763579215374e-05,5.022819691559555e-05,6.865436252266384e-05,0.12162867344274855,0.062274108225843096,0.10593801999930293,1.0,9.48369883769407,0.10548461591784156,0.13129030541088602,0.6959319882261721,0.26630463709055785,0.037763374683270054
15,GA,7.523353242880402e-05,6.8439637322377064e-06,7.571132799146078e-05,6.58334805097043e-05,8.306827090240532e-05,0.13757559583866108,0.07224136083964816,0.13684077996294947,1.0,14.237804260951123,0.07024922507115121,0.09274366583342612,0.5645036686243391,0.30706985864380576,0.1284264727318552
15,PSO,7.39562322443402e-05,4.198148081028363e-06,7.485611181477959e-05,6.858521870299553e-05,7.790164442200207e-05,0.13647294141228544,0.06061459156991007,0.23568556001409888,1.0,14.220778617623008,0.07037687625741995,0.08914438403199107,0.5601452033647405,0.3226984090276766,0.11715638760758292
15,SA,7.247445940289017e-05,8.978106844528453e-06,7.470487000772784e-05,5.804319360006138e-05,8.136091985832506e-05,0.13492359376604537,0.058341118769761655,0.05643357997760177,1.0,12.494101419238731,0.08051010260267007,0.1259351681324767,0.5906532560782203,0.28469447110463136,0.12465227281714839
